dataset_label,nct_id,brief_title,lead_sponsor_class,primary_purpose,intervention_types,enrollment,arm_group_count,location_count,country_count,countries,africa_countries,has_africa_site,start_date,primary_completion_date,results_first_post_date,trial_duration_days,results_reporting_lag_days,registration_lead_days,prospectively_registered,has_results_section,has_publication_reference,has_result_reference,pmids,result_pmids,publication_lag_days,speed_score,frugality_score,dissemination_score,overall_efficiency_score
global,NCT02604017,A Study to Evaluate the Efficacy and Safety of ABT-493/ABT-530 in Subjects With Genotype 1 Infection,INDUSTRY,TREATMENT,DRUG,703,2,0,0,,,False,2015-10-01,2017-01-01,2017-09-14,458,256,-41,False,True,True,False,29365309|30012435|30529905|30868245|30923816|30977945|31568620,,,86.38,62.5,43.19,69.38
global,NCT03575962,A Study to Compare the Relative Bioavailability of Two Different Formulations of GSK3640254,INDUSTRY,TREATMENT,DRUG,14,2,1,1,United Kingdom,,False,2018-06-18,2018-08-06,2019-09-06,49,396,6,True,True,True,False,33200887,,,89.44,53.89,50.72,69.25
global,NCT04426656,The Development of a Mobile-based App to Increase Uptake of Pre-Exposure Prophylaxis (PrEP) by Men Who Have Sex With Men in China,OTHER,OTHER,BEHAVIORAL,70,2,1,1,China,,False,2020-07-08,2021-04-02,2022-03-02,268,334,30,True,True,True,False,35537794|37956177,,,88.88,48.05,50.44,66.9
global,NCT05483686,Improving HIV Outcomes Among African American Transgender Women,OTHER,PREVENTION,BEHAVIORAL,38,2,1,1,United States,,False,2021-11-16,2023-01-20,2023-10-16,430,269,-241,False,True,False,False,,,,87.22,51.25,43.61,65.91
global,NCT04971967,Enhancing Partner Services Among Men Who Have Sex With Men Living With HIV,OTHER,HEALTH_SERVICES_RESEARCH,COMBINATION_PRODUCT,121,2,1,1,China,,False,2021-08-01,2022-08-15,2023-06-09,379,298,33,True,True,True,False,38691408,,,86.66,45.7,49.33,64.86
global,NCT03239483,Safety and Pharmacokinetic Study of Dapivirine Gel (0.05%) Administered Rectally to HIV-1 Seronegative Adults,NIH,PREVENTION,DRUG,28,2,3,2,Thailand | United States,,False,2017-10-26,2018-09-20,2019-11-07,329,413,85,True,True,True,False,34498980|34657218,,,81.12,47.09,46.56,62.3
global,NCT01270802,Effects of Switching Efavirenz to Raltegravir on Vascular Function and Bone Markers in HIV-infected Patients,OTHER,TREATMENT,DRUG,30,2,1,1,United States,,False,2011-04-01,2012-10-01,2013-10-24,549,388,87,True,True,False,False,,,,76.38,51.8,44.19,61.34
global,NCT05828095,"A Clinical Trial to Evaluate the Safety and Immunogenicity of Synthetic DNAs Encoding a Native-like HIV Env Trimer and Interleukin-12 (INO-6160), Alone or in a Prime-boost Regimen With 3M-052-AF + Alum Adjuvanted VRC HIV Env Trimer 4571 in Adult Participants Without HIV",NIH,PREVENTION,BIOLOGICAL,20,2,3,1,United States,,False,2023-04-05,2025-01-23,2025-07-04,659,162,-8,False,True,False,False,,,,78.34,50.14,39.17,60.64
global,NCT04327271,Two-way Texting for VMMC Follow-up in Republic of South Africa,OTHER,HEALTH_SERVICES_RESEARCH,BEHAVIORAL,1093,2,9,1,South Africa,South Africa,True,2021-06-07,2022-02-03,2023-01-27,241,358,444,True,True,True,False,31337414|31809358|32544161|32997710|37159245|40295128,,,89.44,28.05,50.72,60.21
africa,NCT04327271,Two-way Texting for VMMC Follow-up in Republic of South Africa,OTHER,HEALTH_SERVICES_RESEARCH,BEHAVIORAL,1093,2,9,1,South Africa,South Africa,True,2021-06-07,2022-02-03,2023-01-27,241,358,444,True,True,True,False,31337414|31809358|32544161|32997710|37159245|40295128,,,89.44,28.05,50.72,60.21
